site,River
B01,Blackwater
B02,Blackwater
B03,Blackwater
B04,Blackwater
B05,Blackwater
B06,Blackwater
B07,Blackwater
B08,Blackwater
B09,Blackwater
B10,Blackwater
B11,Blackwater
B12,Blackwater
B13,Blackwater
B14,Blackwater
B15,Blackwater
C01,Colne
C02,Colne
C03,Colne
C04,Colne
C05,Colne
C06,Colne
C07,Colne
C08,Colne
C09,Colne
C10,Colne
C11,Colne
C12,Colne
C13,Colne
C14,Colne
C15,Colne
B01,Overall
B02,Overall
B03,Overall
B04,Overall
B05,Overall
B06,Overall
B07,Overall
B08,Overall
B09,Overall
B10,Overall
B11,Overall
B12,Overall
B13,Overall
B14,Overall
B15,Overall
C01,Overall
C02,Overall
C03,Overall
C04,Overall
C05,Overall
C06,Overall
C07,Overall
C08,Overall
C09,Overall
C10,Overall
C11,Overall
C12,Overall
C13,Overall
C14,Overall
C15,Overall
